id_reservasi,id_slot_parkir,id_pengguna,tanggal_reservasi_target,jam_masuk_target,jam_keluar_target,durasi_reservasi_menit,tipe_kendaraan,lantai_parkir_target,hari_reservasi_target,waktu_pembuatan_reservasi,status_akhir_reservasi,total_biaya_rupiah,prediksi_cuaca_pemesanan,info_acara_khusus_pemesanan,estimasi_okupansi_saat_pesan
RES0165,D03,USER014,04-12-2023,10:00,15:00,300,Mobil,P3,Senin,27-11-2023 09:30,Selesai,25000,Cerah,Tidak_Ada,0.39
RES0166,B10,USER015,04-12-2023,19:00,23:00,240,Mobil,P2,Senin,04-12-2023 15:30,Dibatalkan_Pengguna,20000,Berawan,Tidak_Ada,0.51
RES0167,A24,USER016,05-12-2023,11:00,13:00,120,Motor,P1,Selasa,05-12-2023 09:00,Selesai,6000,Cerah,Tidak_Ada,0.45
RES0168,C21,USER017,06-12-2023,07:30,17:30,600,Mobil,B1,Rabu,29-11-2023 08:00,Selesai,50000,Cerah,Tidak_Ada,0.32
RES0169,P2D9,USER018,07-12-2023,09:00,11:30,150,Mobil,P2,Kamis,06-12-2023 12:30,Selesai,12500,Berawan,Tidak_Ada,0.5
RES0170,P1C5,USER019,08-12-2023,10:00,12:00,120,Motor,P1,Jumat,08-12-2023 07:30,Selesai,6000,Berawan,Tidak_Ada,0.57
RES0171,B1D7,USER020,09-12-2023,14:30,18:00,210,Mobil,B1,Sabtu,03-12-2023 09:30,Dikonfirmasi_Belum_Digunakan,17500,Hujan Ringan,Tidak_Ada,0.71
RES0172,P3A7,USER021,10-12-2023,08:00,15:00,420,Mobil,P3,Minggu,09-12-2023 17:00,Selesai,35000,Cerah,Olahraga,0.78
RES0173,P1A3,USER022,11-12-2023,19:30,22:00,150,Motor,P1,Senin,11-12-2023 18:00,Tidak_Hadir,7500,Cerah,Tidak_Ada,0.54
RES0174,P2B5,USER023,12-12-2023,10:30,11:30,60,Mobil,P2,Selasa,12-12-2023 08:30,Selesai,5000,Cerah,Tidak_Ada,0.42
RES0175,B1C4,USER024,13-12-2023,13:30,15:30,120,Motor,B1,Rabu,07-12-2023 16:30,Dibatalkan_Pengguna,6000,Cerah,Tidak_Ada,0.47
RES0176,P3C5,USER025,14-12-2023,09:30,17:00,450,Mobil,P3,Kamis,13-12-2023 20:30,Selesai,37500,Hujan Ringan,Tidak_Ada,0.36
RES0177,P1E1,USER026,15-12-2023,16:00,20:00,240,Mobil,P1,Jumat,15-12-2023 11:00,Selesai,20000,Hujan Lebat,Tidak_Ada,0.73
RES0178,P2A8,USER027,16-12-2023,11:00,14:00,180,Motor,P2,Sabtu,09-12-2023 09:00,Selesai,9000,Cerah,Tidak_Ada,0.69
RES0179,B1C6,USER028,17-12-2023,13:00,14:30,90,Mobil,B1,Minggu,17-12-2023 10:00,Dikonfirmasi_Belum_Digunakan,7500,Berawan,Konser,0.83
RES0180,P3B5,USER029,18-12-2023,07:00,09:00,120,Mobil,P3,Senin,11-12-2023 14:00,Selesai,10000,Cerah,Tidak_Ada,0.33
RES0181,A04,USER030,02-01-2024,08:45,11:15,150,Mobil,P1,Selasa,01-01-2024 10:00,Selesai,12500,Cerah,Tidak_Ada,0.43
RES0182,B22,USER031,02-01-2024,10:00,11:30,90,Motor,P2,Selasa,02-01-2024 08:00,Selesai,4500,Cerah,Tidak_Ada,0.49
RES0183,C12,USER032,03-01-2024,15:00,19:00,240,Mobil,B1,Rabu,02-01-2024 16:30,Dikonfirmasi_Belum_Digunakan,20000,Berawan,Tidak_Ada,0.58
RES0184,A25,USER033,04-01-2024,17:15,17:45,30,Motor,P1,Kamis,04-01-2024 16:00,Selesai,1000,Hujan Ringan,Tidak_Ada,0.7
RES0185,D04,USER034,05-01-2024,11:00,17:00,360,Mobil,P3,Jumat,29-12-2023 12:00,Selesai,30000,Cerah,Tidak_Ada,0.62
RES0186,B12,USER035,06-01-2024,20:00,23:30,210,Mobil,P2,Sabtu,06-01-2024 18:30,Dibatalkan_Pengguna,17500,Berawan,Konser,0.93
RES0187,A05,USER036,07-01-2024,12:00,14:00,120,Motor,P1,Minggu,07-01-2024 10:00,Selesai,6000,Cerah,Pameran,0.8
RES0188,C01,USER037,08-01-2024,08:00,18:00,600,Mobil,B1,Senin,31-12-2023 11:30,Selesai,50000,Cerah,Tidak_Ada,0.35
RES0189,P2C1,USER038,09-01-2024,09:45,11:45,120,Mobil,P2,Selasa,08-01-2024 15:30,Selesai,10000,Cerah,Tidak_Ada,0.41
RES0190,P1D1,USER039,09-01-2024,11:30,13:00,90,Motor,P1,Selasa,09-01-2024 10:00,Selesai,4500,Cerah,Tidak_Ada,0.47
RES0191,B1E1,USER040,10-01-2024,14:45,17:45,180,Mobil,B1,Rabu,04-01-2024 12:30,Dikonfirmasi_Belum_Digunakan,15000,Berawan,Tidak_Ada,0.55
RES0192,P3A8,USER041,11-01-2024,08:45,16:45,480,Mobil,P3,Kamis,10-01-2024 19:30,Selesai,40000,Hujan Ringan,Tidak_Ada,0.37
RES0193,P1B1,USER042,11-01-2024,18:45,20:45,120,Motor,P1,Kamis,11-01-2024 18:00,Tidak_Hadir,6000,Hujan Ringan,Tidak_Ada,0.6
RES0194,P2C2,USER043,12-01-2024,10:45,11:45,60,Mobil,P2,Jumat,12-01-2024 09:30,Selesai,5000,Cerah,Tidak_Ada,0.52
RES0195,B1A3,USER044,13-01-2024,13:45,16:15,150,Motor,B1,Sabtu,09-01-2024 17:30,Dibatalkan_Pengguna,7500,Berawan,Tidak_Ada,0.66
RES0196,P3D7,USER045,14-01-2024,09:15,17:15,480,Mobil,P3,Minggu,13-01-2024 21:30,Selesai,40000,Cerah,Olahraga,0.77
RES0197,P1C7,USER046,15-01-2024,16:45,19:45,180,Mobil,P1,Senin,15-01-2024 13:30,Selesai,15000,Hujan Lebat,Tidak_Ada,0.63
RES0198,P2B3,USER047,16-01-2024,11:45,15:45,240,Motor,P2,Selasa,10-01-2024 11:30,Selesai,12000,Cerah,Tidak_Ada,0.48
RES0199,B1B2,USER048,16-01-2024,13:45,14:45,60,Mobil,B1,Selasa,16-01-2024 12:00,Dikonfirmasi_Belum_Digunakan,5000,Berawan,Tidak_Ada,0.54
RES0200,P3A1,USER049,17-01-2024,07:45,09:45,120,Mobil,P3,Rabu,10-01-2024 15:30,Selesai,10000,Cerah,Tidak_Ada,0.36
